player	player_id	date	market_value
Erling Haaland	315227	2018-01-01	820000
Erling Haaland	315227	2020-01-01	14100000
Erling Haaland	315227	2022-04-01	84320000
Erling Haaland	315227	2023-07-01	131160000
Erling Haaland	315227	2023-10-01	141200000
Erling Haaland	315227	2024-02-01	135070000
Erling Haaland	315227	2024-05-01	138930000
Erling Haaland	315227	2024-08-01	149810000
Erling Haaland	315227	2024-12-01	149800000
Erling Haaland	315227	2025-03-01	188426565
Erling Haaland	315227	2025-05-01	198769777
Kylian Mbappé	300713	2016-07-01	10640000
Kylian Mbappé	300713	2019-01-01	129970000
Kylian Mbappé	300713	2021-12-01	162480000
Kylian Mbappé	300713	2023-07-01	126350000
Kylian Mbappé	300713	2023-10-01	136000000
Kylian Mbappé	300713	2024-02-01	122500000
Kylian Mbappé	300713	2024-05-01	104100000
Kylian Mbappé	300713	2024-08-01	153700000
Kylian Mbappé	300713	2024-12-01	146100000
Kylian Mbappé	300713	2025-03-01	151602277
Kylian Mbappé	300713	2025-05-01	143100000
Alexander Isak	299254	2017-01-01	2520000
Alexander Isak	299254	2019-07-01	6180000
Alexander Isak	299254	2022-02-01	43750000
Alexander Isak	299254	2023-06-01	49050000
Alexander Isak	299254	2023-09-01	47000000
Alexander Isak	299254	2023-12-01	47500000
Alexander Isak	299254	2024-03-01	47500000
Alexander Isak	299254	2024-06-01	62500000
Alexander Isak	299254	2024-09-01	71900000
Alexander Isak	299254	2024-12-01	67900000
Alexander Isak	299254	2025-03-01	76365497
Alexander Isak	299254	2025-05-01	120290894
Lautaro Martínez	299344	2017-01-01	1210000
Lautaro Martínez	299344	2019-07-01	22250000
Lautaro Martínez	299344	2022-02-01	92140000
Lautaro Martínez	299344	2023-06-01	81490000
Lautaro Martínez	299344	2023-09-01	76600000
Lautaro Martínez	299344	2023-12-01	79540000
Lautaro Martínez	299344	2024-02-01	76280000
Lautaro Martínez	299344	2024-05-01	78900000
Lautaro Martínez	299344	2024-08-01	66540000
Lautaro Martínez	299344	2024-10-01	66790000
Lautaro Martínez	299344	2024-12-01	69850000
Lautaro Martínez	299344	2025-04-01	106796290
Lautaro Martínez	299344	2025-05-01	110296074
Harry Kane	83532	2016-07-01	38940000
Harry Kane	83532	2019-01-01	85080000
Harry Kane	83532	2021-12-01	92780000
Harry Kane	83532	2023-06-01	89810000
Harry Kane	83532	2023-09-01	100000000
