player, player_id
samu aghehowa, 497564  
yuri alberto, 348261
julián alvarez, 365409
Mohamed Amoura, 431045
Taiwo Awoniyi, 281049
Folarin Balogun, 384065
Maximilian Beier, 387125
Ange-Yoan Bonny, 447489
Brian Brobbey, 404568
Jonathan Burkardt, 363037
Dominic Calvert-Lewin, 141469
Valentín Castellanos, 361406
Santiago Castro, 421081
Matheus Cunha, 362758
Jonathan David, 383855
Liam Delap, 401254
Ermedin Demirovic, 351339
Artem Dovbyk, 296975
Jhon Durán, 433517
Hugo Ekitiké, 403784
Emanuel Emegha, 400163
Youssef En-Nesyri, 323547
Sebastiano Esposito, 371397
Evanilson, 384430
Evan Ferguson, 423720
Santiago Giménez, 445061
Amine Gouiri, 348654
Antoine Griezmann, 80241
Evann Guessand, 382587
Luis Guilherme, 478319
Serhou Guirassy, 236506
Viktor Gyökeres, 362815
Erling Haaland, 315227
Kai Havertz, 326413
Cucho Hernández, 362501
Rasmus Højlund, 439584
Hee-Chan Hwang, 262854
Fotis Ioannidis, 418176
Alexander Isak, 299254
Nicolas Jackson, 426050
Diogo Jota, 235755
Arnaud Kalimuendo, 384005
Harry Kane, 83532
Gabriel Jesus, 279379
Moise Kean, 328990
Tim Kleindienst, 129368
Ibrahima Konaté, 431179
Jørgen Strand Larsen, 333048
Marcos Leonardo, 397569
Lorenzo Lucca, 424819
Romelu Lukaku, 78498
Omar Marmoush, 394749
Lautaro Martínez, 299344
Jean-Philippe Mateta, 328096
Kylian Mbappé, 300713
Georges Mikautadze, 389020
Aleksandar Mitrovic, 115279
Randal Kolo Muani, 333542
Rodrigo Muniz, 403649
Eddie Nketiah, 345845
Christopher Nkunku, 300945
Darwin Núñez, 400828
Loïs Openda, 363618
Victor Osimhen, 298510
Orri Óskarsson, 428066
Mikel Oyarzabal, 298839
Vangelis Pavlidis, 330514
João Pedro, 373525
Victor Boniface, 384000
Ricardo Pepi, 377466
Andrea Pinamonti, 317544
Joël Piroe, 369542
Gonçalo Ramos, 395802
Mateo Retegui, 349521
Richarlison, 317804
Vitor Roque, 437157
Georginio Rutter, 362433
Gianluca Scamacca, 302650
Patrik Schick, 243565
Benjamin Sesko, 424191
Fábio Silva, 380655
Dominic Solanke, 136459
Alexander Sørloth, 302497
Mathys Tel, 422885
Igor Thiago, 443784
Marcus Thuram, 296322
Ivan Toney, 134240
El Bilal Touré, 391527
Konstantin Tyukavin, 404327
Stefanos Tzimas, 519565
Deniz Undav, 357091
Dusan Vlahovic, 315369
Elye Wahi, 407661
Ollie Watkins, 148503
Yoane Wissa, 296240
Joshua Zirkzee, 383956
